OBJECTID,ORIG_FID,Id,Contour,Shape_Length,Longitude,Latitude
295,27,27,180,0,-116.0130888,32.72886429
296,27,27,180,0,-116.0128282,32.72873715
297,27,27,180,0,-116.0127293,32.72899166
298,27,27,180,0,-116.0124373,32.72894018
299,27,27,180,0,-116.0122009,32.72878495
300,30,30,190,0,-116.0193346,32.72944135
301,30,30,190,0,-116.0192901,32.72939708
302,30,30,190,0,-116.0194854,32.72924923
303,30,30,190,0,-116.0196411,32.72903108
304,30,30,190,0,-116.0199032,32.72893085
305,30,30,190,0,-116.0195869,32.72889501
306,30,30,190,0,-116.0196604,32.72866553
307,30,30,190,0,-116.0195959,32.7283765
308,30,30,190,0,-116.0194459,32.72863236
309,30,30,190,0,-116.0193551,32.72892603
310,30,30,190,0,-116.0191445,32.72912804
311,30,30,190,0,-116.0188877,32.72899248
312,30,30,190,0,-116.0188515,32.72879234
313,30,30,190,0,-116.0186831,32.72870162
314,30,30,190,0,-116.0183954,32.72858443
315,30,30,190,0,-116.0182688,32.72842166
316,30,30,190,0,-116.0184822,32.72822529
317,30,30,190,0,-116.018729,32.72811072
318,30,30,190,0,-116.0185263,32.7279856
319,30,30,190,0,-116.0182283,32.72805713
320,30,30,190,0,-116.0179617,32.72797872
321,30,30,190,0,-116.0176792,32.72805076
322,30,30,190,0,-116.0175451,32.72798462
323,30,30,190,0,-116.0172415,32.7279186
324,30,30,190,0,-116.0170405,32.7277084
325,30,30,190,0,-116.0169317,32.72743504
326,30,30,190,0,-116.0166333,32.7273321
327,30,30,190,0,-116.0163161,32.72735002
328,30,30,190,0,-116.016002,32.72731427
329,30,30,190,0,-116.0156818,32.72730212
330,30,30,190,0,-116.0154877,32.72725982
331,30,30,190,0,-116.0158067,32.72723093
332,30,30,190,0,-116.0161175,32.72716105
333,30,30,190,0,-116.0164349,32.72712867
334,30,30,190,0,-116.0166717,32.72697595
335,30,30,190,0,-116.0166033,32.72688652
336,30,30,190,0,-116.0163841,32.72704822
337,30,30,190,0,-116.0160665,32.72701547
338,30,30,190,0,-116.0158048,32.72683934
339,30,30,190,0,-116.0156026,32.72660559
340,30,30,190,0,-116.0154144,32.72677449
341,30,30,190,0,-116.0152587,32.72700496
342,30,30,190,0,-116.0149661,32.72707937
343,30,30,190,0,-116.0146768,32.72706337
344,30,30,190,0,-116.014382,32.72694682
345,30,30,190,0,-116.0141093,32.72681116
346,30,30,190,0,-116.0138386,32.72664548
347,30,30,190,0,-116.0136042,32.72646721
348,30,30,190,0,-116.0133399,32.72629006
349,30,30,190,0,-116.0131428,32.72605824
350,30,30,190,0,-116.0128623,32.72604469
351,30,30,190,0,-116.0125733,32.7261232
352,30,30,190,0,-116.012299,32.72604138
353,30,30,190,0,-116.0120124,32.725964
354,30,30,190,0,-116.0117056,32.72589388
355,30,30,190,0,-116.0114143,32.72577256
356,30,30,190,0,-116.0111133,32.72573832
357,30,30,190,0,-116.0108245,32.72574181
358,30,30,190,0,-116.0106023,32.72567631
359,30,30,190,0,-116.010572,32.72540531
360,30,30,190,0,-116.0102846,32.72532587
361,30,30,190,0,-116.0099763,32.72525958
362,30,30,190,0,-116.0096648,32.72519927
363,30,30,190,0,-116.0093655,32.72513903
364,30,30,190,0,-116.0090832,32.72503039
365,30,30,190,0,-116.0088178,32.72486638
366,30,30,190,0,-116.0085838,32.72469238
367,30,30,190,0,-116.0083265,32.72461983
368,30,30,190,0,-116.0080595,32.72476278
369,30,30,190,0,-116.0077418,32.72475672
370,30,30,190,0,-116.0074518,32.72477025
371,30,30,190,0,-116.0071998,32.72458917
372,30,30,190,0,-116.0071085,32.72438094
373,30,30,190,0,-116.0070326,32.7241613
374,30,30,190,0,-116.0067711,32.72411309
375,31,31,200,0,-116.0171517,32.72504497
376,31,31,200,0,-116.0170429,32.72534153
377,31,31,200,0,-116.0169689,32.72564929
378,31,31,200,0,-116.0168643,32.72594748
379,31,31,200,0,-116.0166123,32.72613898
380,31,31,200,0,-116.0163969,32.7263213
381,31,31,200,0,-116.0161205,32.72617018
382,31,31,200,0,-116.0158942,32.72596924
383,31,31,200,0,-116.0158376,32.72565967
384,31,31,200,0,-116.0158839,32.72534406
385,31,31,200,0,-116.0160374,32.72507514
386,31,31,200,0,-116.0161552,32.72482616
387,31,31,200,0,-116.0159077,32.72499606
388,31,31,200,0,-116.0156324,32.72511384
389,31,31,200,0,-116.0153738,32.72529148
390,31,31,200,0,-116.0150603,32.72532775
391,31,31,200,0,-116.0147573,32.72539636
392,31,31,200,0,-116.0144764,32.72526417
393,31,31,200,0,-116.0142494,32.72510455
394,31,31,200,0,-116.0140547,32.72488394
395,31,31,200,0,-116.0138175,32.7246786
396,33,33,200,0,-116.020185,32.72694175
397,33,33,200,0,-116.0202606,32.72687356
398,33,33,200,0,-116.0199411,32.72686246
399,35,35,200,0,-116.0245747,32.72906621
400,35,35,200,0,-116.0243113,32.7292108
401,35,35,200,0,-116.0241397,32.72898592
402,35,35,200,0,-116.0239307,32.72880532
403,35,35,200,0,-116.023636,32.72887486
404,35,35,200,0,-116.0233367,32.72893815
405,35,35,200,0,-116.0230411,32.72890317
406,35,35,200,0,-116.0227854,32.72873875
407,35,35,200,0,-116.0225082,32.72877122
408,35,35,200,0,-116.0222384,32.72890424
409,35,35,200,0,-116.0219345,32.7289575
410,35,35,200,0,-116.0217441,32.72892991
411,35,35,200,0,-116.0214689,32.72892708
412,35,35,200,0,-116.0211985,32.72876598
413,35,35,200,0,-116.0209446,32.72857988
414,35,35,200,0,-116.0207351,32.72834815
415,35,35,200,0,-116.020463,32.72819811
416,35,35,200,0,-116.0201963,32.72810627
417,35,35,200,0,-116.0203603,32.72796903
418,35,35,200,0,-116.0206273,32.72784065
419,35,35,200,0,-116.0206815,32.72763249
420,35,35,200,0,-116.020953,32.72750127
421,35,35,200,0,-116.0208263,32.72727059
422,35,35,200,0,-116.0206817,32.72701931
423,35,35,200,0,-116.0205008,32.72707713
424,35,35,200,0,-116.020249,32.72724738
425,35,35,200,0,-116.0199333,32.72729474
426,35,35,200,0,-116.0196303,32.72724831
427,35,35,200,0,-116.019377,32.72705715
428,35,35,200,0,-116.0190997,32.72691812
429,35,35,200,0,-116.0188497,32.72679265
430,35,35,200,0,-116.0191267,32.72663827
431,35,35,200,0,-116.0192373,32.7264278
432,35,35,200,0,-116.0190578,32.72660013
433,35,35,200,0,-116.0187597,32.72651213
434,35,35,200,0,-116.0184456,32.72649061
435,35,35,200,0,-116.0181269,32.72646005
436,35,35,200,0,-116.0178721,32.72633398
437,35,35,200,0,-116.0179128,32.72601891
438,35,35,200,0,-116.0179523,32.72570502
439,35,35,200,0,-116.017795,32.72560459
440,35,35,200,0,-116.0175418,32.72577776
441,35,35,200,0,-116.0173865,32.72571059
442,35,35,200,0,-116.0174608,32.7254434
443,35,35,200,0,-116.0174776,32.72513832
444,36,36,210,0,-116.0168753,32.7250832
445,36,36,210,0,-116.0166467,32.72518025
446,36,36,210,0,-116.0166526,32.72487699
447,38,38,210,0,-116.0202427,32.7252815
448,38,38,210,0,-116.0199806,32.72544789
449,38,38,210,0,-116.0197364,32.72540187
450,38,38,210,0,-116.0194705,32.72530252
451,38,38,210,0,-116.0193446,32.72511493
452,38,38,210,0,-116.019065,32.72516927
453,38,38,210,0,-116.0187607,32.72518144
454,42,42,210,0,-116.0275397,32.72827911
455,42,42,210,0,-116.0274197,32.72798912
456,42,42,210,0,-116.0274359,32.72770499
457,42,42,210,0,-116.0271641,32.72759021
458,42,42,210,0,-116.0268459,32.72756812
459,42,42,210,0,-116.0265261,32.72754939
460,42,42,210,0,-116.0262076,32.72756292
461,42,42,210,0,-116.0258891,32.72759281
462,42,42,210,0,-116.0258232,32.72750364
463,42,42,210,0,-116.0261271,32.72742101
464,42,42,210,0,-116.0264451,32.72738189
465,42,42,210,0,-116.0267617,32.72733693
466,42,42,210,0,-116.0270773,32.72728181
467,42,42,210,0,-116.0270563,32.72708657
468,42,42,210,0,-116.0267392,32.7270901
469,42,42,210,0,-116.0264198,32.72708155
470,42,42,210,0,-116.0261094,32.72714415
471,42,42,210,0,-116.0257905,32.7271744
472,42,42,210,0,-116.0254891,32.72725481
473,42,42,210,0,-116.0251845,32.72731986
474,42,42,210,0,-116.0248841,32.7274228
475,42,42,210,0,-116.0245735,32.72748884
476,42,42,210,0,-116.0242696,32.72758661
477,42,42,210,0,-116.0239556,32.72765013
478,42,42,210,0,-116.0236409,32.72770697
479,42,42,210,0,-116.0233243,32.72775353
480,42,42,210,0,-116.0230116,32.72777017
481,42,42,210,0,-116.022692,32.72778303
482,42,42,210,0,-116.0223776,32.72774408
483,42,42,210,0,-116.0220661,32.72768921
484,42,42,210,0,-116.0217697,32.72759455
485,42,42,210,0,-116.021902,32.72752616
486,42,42,210,0,-116.0222211,32.72754941
487,42,42,210,0,-116.0225398,32.72753411
488,42,42,210,0,-116.0228509,32.72745746
489,42,42,210,0,-116.0230781,32.7273133
490,42,42,210,0,-116.0228427,32.72716691
491,42,42,210,0,-116.0230033,32.72703816
492,42,42,210,0,-116.0230691,32.72681103
493,42,42,210,0,-116.0227631,32.72676669
494,42,42,210,0,-116.022443,32.72675094
495,42,42,210,0,-116.0221233,32.72672686
496,42,42,210,0,-116.0218046,32.72669581
497,42,42,210,0,-116.021626,32.72645746
498,42,42,210,0,-116.021638,32.72614009
499,42,42,210,0,-116.0213997,32.72606262
500,42,42,210,0,-116.0210843,32.72602097
501,42,42,210,0,-116.0207723,32.72605345
502,42,42,210,0,-116.0204655,32.72605194
503,42,42,210,0,-116.0204312,32.72576958
504,42,42,210,0,-116.0204752,32.72552447
505,42,42,210,0,-116.0205069,32.72538398
506,42,42,210,0,-116.0205429,32.72509386
507,45,45,220,0,-116.0296822,32.72620507
508,45,45,220,0,-116.0297134,32.72612829
509,45,45,220,0,-116.0294274,32.72624266
510,46,46,220,0,-116.0301253,32.7279615
511,47,47,220,0,-116.030671,32.72784322
512,47,47,220,0,-116.0304347,32.72769857
513,47,47,220,0,-116.0303732,32.72740239
514,47,47,220,0,-116.0303488,32.72708845
515,47,47,220,0,-116.0302241,32.72680298
516,47,47,220,0,-116.0300204,32.72668856
517,47,47,220,0,-116.0297803,32.7266167
518,47,47,220,0,-116.0295293,32.72646988
519,47,47,220,0,-116.029254,32.72645591
520,47,47,220,0,-116.0293449,32.72627253
521,47,47,220,0,-116.0291202,32.72619822
522,47,47,220,0,-116.0288012,32.72617138
523,47,47,220,0,-116.0287627,32.72595451
524,47,47,220,0,-116.028605,32.72577933
525,47,47,220,0,-116.0288582,32.7256192
526,47,47,220,0,-116.0287352,32.7254554
527,47,47,220,0,-116.0284842,32.72554139
528,47,47,220,0,-116.0283318,32.72561997
529,47,47,220,0,-116.0280559,32.72570188
530,47,47,220,0,-116.0278663,32.72571439
531,47,47,220,0,-116.0276434,32.72593373
532,47,47,220,0,-116.0273684,32.72609602
533,47,47,220,0,-116.0270742,32.72621216
534,47,47,220,0,-116.0267551,32.72624187
535,47,47,220,0,-116.0264374,32.72628298
536,47,47,220,0,-116.0261188,32.72631857
537,47,47,220,0,-116.0258018,32.72636288
538,47,47,220,0,-116.0254834,32.72639708
539,47,47,220,0,-116.0251664,32.72644358
540,47,47,220,0,-116.0248483,32.72648232
541,47,47,220,0,-116.0245303,32.7265222
542,47,47,220,0,-116.0243542,32.72634286
543,47,47,220,0,-116.0243782,32.72603846
544,47,47,220,0,-116.024307,32.7257313
545,47,47,220,0,-116.0241425,32.72586907
546,47,47,220,0,-116.0240078,32.72614632
547,47,47,220,0,-116.0238578,32.72633767
548,47,47,220,0,-116.0235981,32.72650735
549,47,47,220,0,-116.0233794,32.72646011
550,47,47,220,0,-116.0231666,32.72632755
551,47,47,220,0,-116.0228838,32.72629048
552,47,47,220,0,-116.0225903,32.7263971
553,47,47,220,0,-116.0223065,32.72653422
554,47,47,220,0,-116.0221461,32.72635167
555,47,47,220,0,-116.0222041,32.72603746
556,47,47,220,0,-116.0221556,32.72574103
557,47,47,220,0,-116.0219223,32.72556175
558,47,47,220,0,-116.0216073,32.72552887
559,47,47,220,0,-116.0212943,32.72547378
560,47,47,220,0,-116.0213128,32.72523529
561,48,48,220,0,-116.0302527,32.72798494
562,49,49,230,0,-116.0241645,32.7253622
563,49,49,230,0,-116.0239341,32.72535745
564,49,49,230,0,-116.0236473,32.7254559
565,49,49,230,0,-116.023359,32.72535791
566,49,49,230,0,-116.0231233,32.72557263
567,49,49,230,0,-116.0228746,32.72577325
568,49,49,230,0,-116.0226252,32.72572294
569,49,49,230,0,-116.0224796,32.72543985
570,49,49,230,0,-116.022209,32.72527987
571,50,50,230,0,-116.0331183,32.72735819
572,50,50,230,0,-116.0330717,32.72704937
573,50,50,230,0,-116.0330877,32.72673901
574,50,50,230,0,-116.0329873,32.72643835
575,50,50,230,0,-116.0329298,32.72614664
576,50,50,230,0,-116.032678,32.72602425
577,50,50,230,0,-116.0323606,32.72599514
578,50,50,230,0,-116.0321071,32.72588821
579,50,50,230,0,-116.0320816,32.72575862
580,50,50,230,0,-116.0317623,32.72576444
581,50,50,230,0,-116.0314476,32.72580362
582,50,50,230,0,-116.0312624,32.72565281
583,50,50,230,0,-116.0311861,32.72543216
584,50,50,230,0,-116.0309433,32.72542316
585,50,50,230,0,-116.0307984,32.72530448
586,50,50,230,0,-116.030681,32.72513377
587,50,50,230,0,-116.0305762,32.72489652
588,50,50,230,0,-116.0304815,32.72477964
589,50,50,230,0,-116.0303117,32.72504525
590,50,50,230,0,-116.0300306,32.7251117
591,50,50,230,0,-116.0297151,32.72508001
592,50,50,230,0,-116.0296182,32.72493687
593,50,50,230,0,-116.0297142,32.72464925
594,50,50,230,0,-116.0297151,32.72441389
595,50,50,230,0,-116.0294028,32.72442974
596,50,50,230,0,-116.0291227,32.72455746
597,50,50,230,0,-116.0288561,32.72472989
598,50,50,230,0,-116.0285898,32.72490752
599,50,50,230,0,-116.0283359,32.72510226
600,50,50,230,0,-116.0280829,32.72520171
601,50,50,230,0,-116.0279766,32.72510459
602,50,50,230,0,-116.0278599,32.72539625
603,50,50,230,0,-116.0276133,32.72559618
604,50,50,230,0,-116.0273635,32.72579491
605,50,50,230,0,-116.0270968,32.72597256
606,50,50,230,0,-116.0267943,32.72605557
607,50,50,230,0,-116.026476,32.72609041
