OBJECTID,ORIG_FID,Shape_Length,Z,Longitude,Latitude
263,17,0,280.0011316,-116.0234296,32.72178774
264,17,0,279.9905934,-116.0234621,32.72168597
265,17,0,280.000396,-116.0234859,32.72158206
266,17,0,279.9976528,-116.023485,32.72147622
267,17,0,279.9930226,-116.0234491,32.72137678
268,17,0,279.9971393,-116.0233946,32.72128513
269,17,0,280.0052636,-116.0233213,32.72120818
270,17,0,280.0030739,-116.0232331,32.72114831
271,17,0,280.0065201,-116.0231382,32.7211006
272,17,0,280.0032627,-116.0230372,32.72106684
273,17,0,279.9997628,-116.0231251,32.72102741
274,17,0,280.0001009,-116.0232159,32.72097199
275,17,0,279.9933647,-116.0233057,32.7209141
276,17,0,279.9591445,-116.0233985,32.72086118
277,17,0,280.0001209,-116.0234885,32.72080467
278,17,0,280.0003247,-116.0235671,32.72073241
279,17,0,280.0012966,-116.0236483,32.72066309
280,17,0,279.9683815,-116.0237211,32.72058487
281,17,0,280.000201,-116.0237917,32.72050727
282,17,0,280.0022458,-116.0238052,32.72040263
283,17,0,280.0681679,-116.0237666,32.72030516
284,17,0,279.939221,-116.0236725,32.7202562
285,17,0,280.0005702,-116.0235686,32.72023203
286,17,0,280.0000338,-116.0234715,32.72018799
287,17,0,279.9869464,-116.023384,32.72012712
288,17,0,279.9994634,-116.0233305,32.72003493
289,17,0,279.993494,-116.023294,32.71993458
290,17,0,280.0048714,-116.0232657,32.71983163
291,17,0,280.0169122,-116.0232274,32.71973191
292,17,0,279.9787009,-116.0231717,32.71964104
293,17,0,280.0479406,-116.0231258,32.71956008
294,17,0,279.9928783,-116.0231896,32.71948194
295,17,0,279.9998913,-116.0232906,32.71944682
296,17,0,279.9976712,-116.0233918,32.71941246
297,17,0,279.9838842,-116.0234938,32.71938065
298,17,0,279.9956553,-116.0235983,32.71935921
299,17,0,279.9997325,-116.0237044,32.71934638
300,17,0,280.0121204,-116.0238109,32.71933906
301,17,0,280.0065193,-116.0239177,32.71933731
302,17,0,280.002963,-116.0240245,32.71933889
303,17,0,280.0002278,-116.0240608,32.71927176
304,17,0,280.0123724,-116.0240051,32.71918118
305,17,0,280.0046451,-116.0239564,32.7190862
306,17,0,279.9992537,-116.023909,32.7189904
307,17,0,279.9878746,-116.0238951,32.71889299
308,17,0,280.004938,-116.0239701,32.71883002
309,17,0,279.9994141,-116.0240757,32.71881413
310,17,0,280.0129532,-116.0241824,32.71880722
311,17,0,279.9999503,-116.0242887,32.71879667
312,17,0,279.9994426,-116.0243953,32.71878915
313,17,0,279.9915585,-116.0245004,32.71876984
314,17,0,280.0012241,-116.0246059,32.71875236
315,17,0,279.9966269,-116.0247093,32.71872625
316,17,0,280.0049667,-116.0248111,32.71869387
317,17,0,279.8613253,-116.0248756,32.71867189
318,18,0,270.8587413,-116.0257374,32.72166336
319,18,0,269.877802,-116.0256665,32.72173716
320,18,0,270.0074639,-116.0255715,32.72178268
321,18,0,270.0067607,-116.0254735,32.72182535
322,18,0,269.9978793,-116.0253726,32.72185978
323,18,0,270.0002277,-116.0252721,32.72189485
324,18,0,269.9891285,-116.0251748,32.72193884
325,18,0,269.976847,-116.025072,32.72196753
326,18,0,269.9987137,-116.0249687,32.7219517
327,18,0,270.0070631,-116.0248753,32.72190109
328,18,0,270.0043386,-116.0248054,32.72182061
329,18,0,270.0273838,-116.0247491,32.7217309
330,18,0,270.0045883,-116.0247143,32.72163023
331,18,0,270.0100547,-116.0246493,32.72159452
332,18,0,269.9999072,-116.0245768,32.72167158
333,18,0,270.0139207,-116.0245016,32.72174691
334,18,0,270.0394049,-116.0244242,32.72181992
335,18,0,270.0012365,-116.0243609,32.72190269
336,18,0,270.0157649,-116.0243553,32.72200939
337,18,0,269.9960764,-116.0243481,32.72211344
338,18,0,269.9968486,-116.0242967,32.72220648
339,18,0,269.985606,-116.024239,32.7222964
340,18,0,270.0127832,-116.0241742,32.72238106
341,18,0,269.9943456,-116.0240895,32.72244561
342,18,0,270.0066054,-116.0239926,32.72249025
343,18,0,270.002361,-116.0238941,32.72253133
344,18,0,269.9896867,-116.0238033,32.72258754
345,18,0,269.9905596,-116.0237255,32.72265996
346,18,0,269.9991619,-116.0236647,32.72274767
347,18,0,270.0013571,-116.0236145,32.72284187
348,18,0,269.9957509,-116.0235726,32.72294013
349,18,0,269.982274,-116.0234787,32.72293271
350,18,0,269.9802708,-116.0234106,32.72285191
351,18,0,270.0022803,-116.0233318,32.72278021
352,18,0,270.0005959,-116.0232439,32.7227194
353,18,0,270.0076657,-116.0231524,32.72266465
354,18,0,269.9974236,-116.0230534,32.72262435
355,18,0,270.000029,-116.0229629,32.72256836
356,18,0,270.019499,-116.0229441,32.72247326
357,18,0,269.9958822,-116.0229933,32.72238134
358,18,0,270.0014051,-116.0230539,32.72229334
359,18,0,269.9938067,-116.023094,32.72219486
360,18,0,269.9987767,-116.0231038,32.72208899
361,18,0,269.9934478,-116.0231146,32.72198275
362,18,0,270.0156059,-116.0231147,32.72187598
363,18,0,270.0006546,-116.023129,32.7217705
364,18,0,270.0001081,-116.0231569,32.72166731
365,18,0,269.9883389,-116.023178,32.7215628
366,18,0,270.0272123,-116.0231546,32.72146254
367,18,0,269.9293188,-116.0230716,32.72139965
368,18,0,269.9989971,-116.0229676,32.72138857
369,18,0,270.0024404,-116.0228615,32.72140057
370,18,0,270.0085939,-116.0227547,32.72140574
371,18,0,269.9997407,-116.022648,32.72140246
372,18,0,269.9984597,-116.0225433,32.72138111
373,18,0,269.9298446,-116.0224381,32.72136319
374,18,0,270.024624,-116.0223847,32.72129036
375,18,0,270.0065132,-116.022375,32.72118445
