OBJECTID,ORIG_FID,Shape_Length,Shape_Area,Longitude,Latitude
174,1,0,0,-116.0247493,32.71799801
175,1,0,0,-116.0248117,32.71819572
176,1,0,0,-116.0248689,32.71840172
177,1,0,0,-116.0249261,32.71860771
178,1,0,0,-116.0249833,32.7188137
179,1,0,0,-116.0250406,32.71901969
180,1,0,0,-116.0250978,32.71922568
181,1,0,0,-116.025155,32.71943168
182,1,0,0,-116.0252122,32.71963767
183,1,0,0,-116.0252695,32.71984366
184,1,0,0,-116.0253267,32.72004965
185,1,0,0,-116.0253839,32.72025564
186,1,0,0,-116.0254411,32.72046164
187,1,0,0,-116.0254984,32.72066763
188,1,0,0,-116.0255556,32.72087362
189,1,0,0,-116.0256128,32.72107961
190,1,0,0,-116.02567,32.72128561
191,1,0,0,-116.0257273,32.7214916
192,1,0,0,-116.0257845,32.72169759
193,1,0,0,-116.0258417,32.72190358
194,1,0,0,-116.0258989,32.72210957
195,1,0,0,-116.0259562,32.72231557
196,1,0,0,-116.0260134,32.72252156
197,1,0,0,-116.0260706,32.72272755
198,1,0,0,-116.0261278,32.72293354
199,1,0,0,-116.0261851,32.72313953
200,1,0,0,-116.0262423,32.72334553
201,1,0,0,-116.0262995,32.72355152
202,1,0,0,-116.0263567,32.72375751
203,1,0,0,-116.026414,32.7239635
204,1,0,0,-116.0264712,32.72416949
205,1,0,0,-116.0265284,32.72437549
206,1,0,0,-116.0265856,32.72458148
207,1,0,0,-116.0266429,32.72478747
208,1,0,0,-116.0267001,32.72499346
209,1,0,0,-116.0267573,32.72519945
210,1,0,0,-116.0268145,32.72540545
211,1,0,0,-116.0268718,32.72561144
212,1,0,0,-116.026929,32.72581743
213,1,0,0,-116.0269862,32.72602342
214,1,0,0,-116.0270434,32.72622941
215,1,0,0,-116.0271007,32.72643541
216,1,0,0,-116.0271579,32.7266414
217,1,0,0,-116.0270644,32.72675461
218,1,0,0,-116.0268547,32.72679623
219,1,0,0,-116.026645,32.72683786
220,1,0,0,-116.0264353,32.72687949
221,1,0,0,-116.0262256,32.72692112
222,1,0,0,-116.0260159,32.72696274
223,1,0,0,-116.0258062,32.72700437
224,1,0,0,-116.0255965,32.727046
225,1,0,0,-116.0253889,32.72709691
226,1,0,0,-116.0251815,32.72714892
227,1,0,0,-116.0249742,32.72720093
228,1,0,0,-116.0247693,32.72726197
229,1,0,0,-116.0245647,32.72732402
230,1,0,0,-116.0243594,32.72738366
231,1,0,0,-116.0241535,32.72744099
232,1,0,0,-116.0239475,32.72749833
233,1,0,0,-116.02374,32.72754936
234,1,0,0,-116.0235303,32.72759105
235,1,0,0,-116.0233184,32.72761778
236,1,0,0,-116.0231054,32.72763576
237,1,0,0,-116.0228917,32.72764066
238,1,0,0,-116.0226779,32.72764164
239,1,0,0,-116.0224647,32.72762811
240,1,0,0,-116.0222518,32.72760915
241,1,0,0,-116.0220399,32.72758198
242,1,0,0,-116.0218315,32.72753577
243,1,0,0,-116.0216264,32.72747569
244,1,0,0,-116.0214192,32.72742294
245,1,0,0,-116.0212117,32.72737127
246,1,0,0,-116.0210044,32.72731896
247,1,0,0,-116.0207977,32.72726438
248,1,0,0,-116.020591,32.7272098
249,1,0,0,-116.0203843,32.72715522
250,1,0,0,-116.0201776,32.72710064
